CampaignID,StartDate,EndDate,Channel,Impressions,Clicks,Leads,Conversions,Cost_USD,Revenue_USD,ROI
CAMP00141,2025-08-19,2025-09-01,Email,37137,783,142,53,2223.62,6102.74,1.74
CAMP00142,2025-08-29,2025-09-05,Search,20573,226,87,36,538.7,1462.29,1.71
CAMP00143,2025-02-21,2025-03-05,Search,14554,1027,136,44,3743.41,11217.85,2.0
CAMP00144,2025-04-06,2025-04-16,Social,234726,7933,3243,1666,3628.58,8762.7,1.41
CAMP00145,2025-08-10,2025-08-19,Display,238380,23128,6849,3387,811.95,1819.95,1.24
CAMP00146,2025-08-19,2025-08-24,Display,222670,8408,1245,616,1245.65,1612.31,0.29
CAMP00147,2025-08-25,2025-09-02,Social,189869,8112,2597,1282,180.43,349.37,0.94
CAMP00148,2025-05-23,2025-05-30,Search,18015,941,169,48,4459.67,8299.04,0.86
CAMP00149,2025-06-20,2025-06-25,Social,64617,2502,923,226,1298.19,3205.49,1.47
CAMP00150,2025-01-29,2025-02-07,Influencer,185664,15515,5949,1929,4642.5,7192.89,0.55
CAMP00151,2025-02-05,2025-02-15,Social,115041,10222,4133,1777,2898.73,7947.43,1.74
CAMP00152,2025-01-13,2025-01-19,Social,80195,881,403,145,2184.5,3144.87,0.44
CAMP00153,2025-06-09,2025-06-16,Influencer,164989,11370,4115,1233,138.37,272.19,0.97
CAMP00154,2025-11-23,2025-12-08,Display,255438,18327,5437,1135,552.13,1594.94,1.89
CAMP00155,2025-07-06,2025-07-16,Influencer,219722,21209,9367,2327,877.55,1481.27,0.69
CAMP00156,2025-08-31,2025-09-08,Email,142715,6184,2844,688,617.91,1517.53,1.46
CAMP00157,2025-03-27,2025-04-09,Social,18269,503,207,120,1355.4,2265.2,0.67
CAMP00158,2025-10-11,2025-10-20,Social,285502,16231,7741,3959,857.47,1739.63,1.03
CAMP00159,2025-03-07,2025-03-15,Display,103029,5180,2547,634,3352.79,8553.88,1.55
CAMP00160,2025-06-19,2025-06-25,Search,88857,7220,1447,559,1555.45,4089.52,1.63
CAMP00161,2025-02-14,2025-02-24,Influencer,197830,18073,3135,1447,3619.63,9718.64,1.68
CAMP00162,2025-03-03,2025-03-17,Search,61235,1090,304,177,763.91,916.0,0.2
CAMP00163,2025-05-14,2025-05-20,Email,289316,24936,12437,3825,1124.63,3047.48,1.71
CAMP00164,2025-10-11,2025-10-22,Influencer,78834,7237,979,299,3958.5,5117.37,0.29
CAMP00165,2025-01-28,2025-02-04,Email,49857,4645,1787,763,3206.98,4956.79,0.55
CAMP00166,2025-04-18,2025-05-01,Email,146483,11541,5081,2758,572.59,1684.66,1.94
CAMP00167,2025-02-13,2025-02-28,Email,274969,21114,10526,3282,4801.14,6185.97,0.29
CAMP00168,2025-12-06,2025-12-15,Influencer,101774,1154,401,100,3836.42,5762.94,0.5
CAMP00169,2025-10-13,2025-10-25,Influencer,174814,16225,4089,1253,2807.96,4693.68,0.67
CAMP00170,2025-11-27,2025-12-12,Display,294295,12253,2041,774,1780.26,4650.74,1.61
CAMP00171,2025-05-08,2025-05-18,Social,48327,662,326,112,560.31,919.89,0.64
CAMP00172,2025-12-14,2025-12-28,Search,145324,6854,3219,1752,1855.19,4919.88,1.65
CAMP00173,2025-08-19,2025-08-31,Search,205344,15597,6578,3796,1682.81,2374.76,0.41
CAMP00174,2025-07-09,2025-07-24,Email,266003,13240,6322,2221,484.02,1065.83,1.2
CAMP00175,2025-08-13,2025-08-20,Influencer,20322,1589,197,104,3940.42,11503.88,1.92
CAMP00176,2025-10-10,2025-10-17,Influencer,226785,12665,4465,1015,2135.14,2310.31,0.08
CAMP00177,2025-05-01,2025-05-10,Email,60504,2235,469,197,4458.63,12560.49,1.82
CAMP00178,2025-04-26,2025-05-11,Social,62631,1770,719,382,874.02,1162.17,0.33
CAMP00179,2025-08-21,2025-09-04,Search,192370,9214,1274,468,1656.1,3580.38,1.16
CAMP00180,2025-09-16,2025-09-23,Display,233121,3082,627,161,1467.28,1610.5,0.1
CAMP00181,2025-12-25,2026-01-06,Social,270111,12973,5709,1790,4339.29,9297.34,1.14
CAMP00182,2025-07-17,2025-07-31,Influencer,42018,679,271,107,2587.89,5771.05,1.23
CAMP00183,2025-05-17,2025-05-29,Email,188758,16786,8339,4481,794.93,2079.01,1.62
CAMP00184,2025-11-14,2025-11-20,Search,73774,4558,1629,813,1851.49,3392.27,0.83
CAMP00185,2025-06-14,2025-06-22,Email,144585,9852,2179,508,4721.59,13369.18,1.83
CAMP00186,2025-08-13,2025-08-27,Influencer,253319,9118,2910,1217,2802.29,4878.24,0.74
CAMP00187,2025-11-03,2025-11-08,Email,232414,7047,3365,1847,279.99,331.28,0.18
CAMP00188,2025-08-22,2025-08-30,Search,72104,5314,1916,825,383.44,680.04,0.77
CAMP00189,2025-06-21,2025-07-06,Email,113818,8017,3628,819,1254.84,2023.47,0.61
CAMP00190,2025-06-01,2025-06-09,Search,101396,2133,232,122,3144.49,5952.1,0.89
CAMP00191,2025-11-11,2025-11-25,Email,182887,5756,1426,802,1301.78,1821.38,0.4
CAMP00192,2025-06-09,2025-06-22,Email,9720,925,438,155,4265.56,7424.98,0.74
CAMP00193,2025-04-06,2025-04-13,Search,45725,1709,197,63,3184.17,8828.06,1.77
CAMP00194,2025-08-21,2025-08-27,Email,217691,2683,825,344,1573.58,3626.96,1.3
CAMP00195,2025-06-29,2025-07-12,Social,209543,3298,786,466,2030.28,2834.76,0.4
CAMP00196,2025-04-23,2025-05-06,Display,297173,23712,8500,4547,1938.76,2143.78,0.11
CAMP00197,2025-11-14,2025-11-19,Social,293729,22953,3784,1984,1639.5,2349.92,0.43
CAMP00198,2025-02-21,2025-03-03,Display,63271,2806,1013,280,3186.44,5794.02,0.82
CAMP00199,2025-09-25,2025-10-09,Social,159970,3805,1890,1054,1088.2,1887.23,0.73
CAMP00200,2025-10-22,2025-11-03,Display,290593,15933,3321,1402,1531.34,4129.98,1.7
CAMP00201,2025-04-23,2025-04-30,Email,40308,1607,457,259,517.66,1124.33,1.17
CAMP00202,2025-04-11,2025-04-26,Search,296203,12931,1446,666,1942.58,5215.78,1.68
CAMP00203,2025-04-23,2025-05-06,Search,161520,5409,1480,789,415.48,1245.51,2.0
CAMP00204,2025-03-22,2025-03-28,Influencer,139058,2177,571,152,187.74,296.76,0.58
CAMP00205,2025-07-06,2025-07-16,Display,258981,21030,6853,3307,3265.3,6383.37,0.95
CAMP00206,2025-04-23,2025-04-28,Influencer,57934,3802,770,233,896.03,2160.42,1.41
CAMP00207,2025-01-02,2025-01-13,Influencer,142557,12134,2808,751,272.47,551.35,1.02
CAMP00208,2025-05-10,2025-05-17,Display,232112,12833,4414,1896,434.83,719.05,0.65
CAMP00209,2025-08-08,2025-08-19,Search,260920,25739,11927,5260,1076.13,2832.82,1.63
CAMP00210,2025-02-23,2025-03-03,Display,123156,11900,2309,914,3632.32,10115.49,1.78
CAMP00211,2025-12-09,2025-12-22,Email,278916,9611,3565,839,158.13,246.12,0.56
CAMP00212,2025-08-12,2025-08-21,Influencer,148603,6661,2061,613,3659.95,5720.19,0.56
CAMP00213,2025-08-13,2025-08-20,Influencer,62564,4863,689,202,3025.58,6459.29,1.13
CAMP00214,2025-05-06,2025-05-18,Display,256035,20455,6671,2171,2618.16,6893.03,1.63
CAMP00215,2025-05-10,2025-05-20,Influencer,43635,4012,1538,693,4555.49,9292.51,1.04
CAMP00216,2025-02-22,2025-02-28,Search,158972,10927,3707,1390,4164.98,4665.19,0.12
CAMP00217,2025-06-21,2025-06-28,Influencer,42394,2236,316,185,2151.98,3421.67,0.59
CAMP00218,2025-08-06,2025-08-18,Display,40030,1760,777,160,132.83,266.42,1.01
CAMP00219,2025-06-09,2025-06-23,Search,151631,7236,842,241,3581.82,8859.16,1.47
CAMP00220,2025-07-17,2025-07-28,Search,213920,18511,3598,1544,333.86,851.31,1.55
CAMP00221,2025-09-04,2025-09-18,Influencer,265706,26092,9035,4984,1462.46,3662.9,1.5
CAMP00222,2025-11-20,2025-11-30,Display,128652,1887,353,75,2515.87,2993.0,0.19
CAMP00223,2025-07-22,2025-07-27,Influencer,184453,11477,1615,893,586.77,1309.67,1.23
CAMP00224,2025-07-03,2025-07-16,Email,209819,11918,3632,1463,3428.43,6345.57,0.85
CAMP00225,2025-05-03,2025-05-10,Email,18515,811,315,161,1674.71,2724.83,0.63
CAMP00226,2025-09-12,2025-09-21,Search,152407,13204,3489,2021,1872.14,4970.94,1.66
CAMP00227,2025-10-21,2025-11-01,Influencer,63724,3939,1494,427,3276.79,5625.43,0.72
CAMP00228,2025-10-07,2025-10-18,Email,269319,10282,4567,1987,2051.39,2800.21,0.37
CAMP00229,2025-11-21,2025-11-28,Social,7405,370,178,98,1200.39,2870.7,1.39
CAMP00230,2025-04-08,2025-04-16,Email,57515,2422,468,251,966.11,1227.94,0.27
CAMP00231,2025-07-17,2025-07-31,Influencer,12341,601,205,83,3647.81,5791.86,0.59
CAMP00232,2025-08-28,2025-09-08,Influencer,160356,2632,544,315,3777.87,7136.02,0.89
CAMP00233,2025-05-24,2025-06-05,Email,164074,3293,1476,713,1058.93,1358.97,0.28
CAMP00234,2025-04-07,2025-04-13,Influencer,227064,15016,6849,2805,1663.13,2618.85,0.57
CAMP00235,2025-07-20,2025-08-02,Influencer,96796,6927,1585,353,4787.38,10930.65,1.28
CAMP00236,2025-05-04,2025-05-15,Social,86499,5821,2084,823,4922.72,10410.62,1.11
CAMP00237,2025-07-06,2025-07-18,Search,155013,12195,5549,2046,2968.01,7979.67,1.69
CAMP00238,2025-11-22,2025-12-02,Influencer,285570,27105,8222,2648,3809.03,4882.34,0.28
CAMP00239,2025-12-15,2025-12-25,Display,202386,17699,6870,3965,3766.44,10273.81,1.73
CAMP00240,2025-09-16,2025-09-29,Search,40927,1950,819,467,2038.25,2346.51,0.15
CAMP00241,2025-05-28,2025-06-05,Search,11395,337,151,50,337.3,838.81,1.49
CAMP00242,2025-09-09,2025-09-24,Display,236122,8988,2751,1029,3729.45,5272.67,0.41
CAMP00243,2025-12-12,2025-12-27,Email,142046,8934,4259,2132,765.29,2147.55,1.81
CAMP00244,2025-05-27,2025-06-05,Social,272294,23705,8334,4450,1523.44,1650.07,0.08
CAMP00245,2025-05-28,2025-06-10,Influencer,82668,6047,971,236,1646.16,3556.5,1.16
CAMP00246,2025-12-18,2025-12-23,Email,54572,3212,1108,439,1810.55,1856.99,0.03
CAMP00247,2025-07-18,2025-07-26,Display,178883,11478,2518,1424,2381.84,5888.1,1.47
CAMP00248,2025-11-04,2025-11-15,Social,89028,5122,1274,593,2557.89,2730.5,0.07
CAMP00249,2025-05-08,2025-05-23,Social,239050,23294,9866,4115,2469.27,6060.35,1.45
CAMP00250,2025-02-08,2025-02-21,Social,59497,4964,2429,1183,897.97,2350.03,1.62
CAMP00251,2025-12-04,2025-12-19,Display,107300,8617,3859,1792,3279.13,9152.23,1.79
CAMP00252,2025-12-26,2026-01-09,Email,27466,1553,357,205,3972.11,6827.4,0.72
CAMP00253,2025-05-09,2025-05-19,Influencer,14550,580,163,92,2362.53,4925.99,1.09
CAMP00254,2025-09-24,2025-10-06,Social,40394,474,233,83,4207.77,10380.81,1.47
CAMP00255,2025-05-31,2025-06-13,Social,197622,2748,1289,274,2276.86,6014.25,1.64
CAMP00256,2025-10-25,2025-11-08,Email,145559,1851,908,302,2884.76,7401.39,1.57
CAMP00257,2025-04-09,2025-04-17,Social,60084,5902,1612,453,440.79,1188.2,1.7
CAMP00258,2025-09-20,2025-09-25,Social,167003,3390,1424,359,819.54,2290.85,1.8
CAMP00259,2025-09-09,2025-09-21,Display,84220,1919,860,477,3859.93,8880.3,1.3
CAMP00260,2025-05-24,2025-05-30,Search,228356,12233,1439,696,1320.97,1780.61,0.35
CAMP00261,2025-12-12,2025-12-27,Email,16366,872,180,38,559.5,1492.17,1.67
CAMP00262,2025-04-22,2025-04-27,Email,254824,23647,10721,6088,2884.41,5557.03,0.93
CAMP00263,2025-03-01,2025-03-12,Email,125525,2085,532,298,562.52,619.5,0.1
CAMP00264,2025-01-02,2025-01-16,Display,167935,16147,3414,1979,3451.96,7774.38,1.25
CAMP00265,2025-10-31,2025-11-13,Display,164401,4845,1012,538,3476.96,8535.74,1.45
CAMP00266,2025-09-11,2025-09-26,Influencer,68818,6696,1675,387,2319.98,4444.42,0.92
CAMP00267,2025-05-20,2025-06-02,Display,228133,13395,2646,1188,3460.26,6966.67,1.01
CAMP00268,2025-02-06,2025-02-13,Email,237756,16329,1654,385,4016.93,8435.38,1.1
CAMP00269,2025-06-09,2025-06-19,Influencer,240065,9222,1558,756,1068.61,1608.26,0.51
CAMP00270,2025-01-09,2025-01-20,Search,177443,11545,5230,1458,3282.71,5738.07,0.75
CAMP00271,2025-08-21,2025-09-04,Social,176313,13042,1698,975,3492.5,9128.6,1.61
CAMP00272,2025-04-09,2025-04-22,Social,6676,72,19,10,1052.81,1115.79,0.06
CAMP00273,2025-05-27,2025-06-02,Influencer,111094,1453,410,179,3661.7,7740.09,1.11
CAMP00274,2025-10-31,2025-11-12,Search,31222,3084,1268,635,3625.78,3856.25,0.06
CAMP00275,2025-07-27,2025-08-07,Social,197375,10101,2030,1102,870.54,1221.61,0.4
CAMP00276,2025-05-11,2025-05-19,Influencer,280520,26431,5916,2104,1655.4,2889.98,0.75
CAMP00277,2025-06-01,2025-06-07,Display,14431,1092,115,49,4711.65,6468.51,0.37
CAMP00278,2025-02-23,2025-03-07,Email,138009,6012,2772,749,448.6,1209.89,1.7
CAMP00279,2025-04-30,2025-05-15,Search,230863,5442,2036,1209,1221.84,3348.34,1.74
CAMP00280,2025-06-10,2025-06-19,Social,6067,594,121,69,2936.12,3834.64,0.31
CAMP00281,2025-04-26,2025-05-06,Email,83937,5254,2390,940,4846.63,13496.28,1.78
CAMP00282,2025-03-16,2025-03-31,Influencer,108556,2964,399,168,1360.01,1985.59,0.46
